season,game_code,num_anot,team_code,player_id,player_name,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,utc,quarter,seconds,make,team_code_a,team_code_b
2018,257,5,ULK,P001324,"MUHAMMED, ALI",2FGM,Two Pointer,2,1.1428571428571428,2.279081632653061,C,0,0,0,1,09:42,2,0,20190517160232,1,18,TRUE,ULK,IST
2018,257,6,IST,P003048,"DUNSTON, BRYANT",2FGA,Missed Two Pointer,0,-0.3163265306122449,2.7178571428571425,B,0,0,0,1,09:19,2,0,20190517160256,1,41,FALSE,ULK,IST
2018,257,10,IST,P003048,"DUNSTON, BRYANT",2FGM,Two Pointer,2,-0.1836734693877551,2.20765306122449,B,0,1,0,1,09:13,2,2,20190517160301,1,47,TRUE,ULK,IST
2018,257,14,ULK,P005159,"GREEN, ERICK",3FGM,Three Pointer,3,-5.948979591836735,6.177040816326531,H,0,0,0,2,08:53,5,2,20190517160341,1,67,TRUE,ULK,IST
2018,257,16,IST,P001833,"MOERMAN, ADRIEN",2FGA,Missed Two Pointer,0,1.9183673469387754,2.4627551020408163,C,0,0,0,2,08:29,5,2,20190517160406,1,91,FALSE,ULK,IST
2018,257,18,ULK,P001324,"MUHAMMED, ALI",2FGA,Missed Two Pointer,0,1.9795918367346939,2.20765306122449,C,0,0,0,2,08:03,5,2,20190517160432,1,117,FALSE,ULK,IST
2018,257,21,IST,P002580,"MICIC, VASILIJE",2FGA,Missed Two Pointer,0,-0.9591836734693877,2.401530612244898,B,0,0,0,3,07:50,5,2,20190517160445,1,130,FALSE,ULK,IST
2018,257,25,IST,P001833,"MOERMAN, ADRIEN",3FGM,Three Pointer,3,-6.26530612244898,5.728061224489796,H,1,0,1,3,07:34,5,5,20190517160502,1,146,TRUE,ULK,IST
2018,257,27,ULK,P005159,"GREEN, ERICK",2FGA,Missed Two Pointer,0,2.622448979591837,6.115816326530612,G,0,0,0,3,07:04,5,5,20190517160531,1,176,FALSE,ULK,IST
2018,257,30,IST,P007200,"LARKIN, SHANE",3FGM,Three Pointer,3,4.479591836734694,7.585204081632654,I,0,0,0,4,06:55,5,8,20190517160540,1,185,TRUE,ULK,IST
