season,team_code,team_name,team_link,team_img
2001,AEK,AEK Athens,https://www.euroleague.net/competition/teams/showteam?clubcode=AEK&seasoncode=E2001,https://www.euroleague.net/rs/66nqu3xd77u8dv6q/5fae8dff-b186-4e7f-a158-c16e8e479736/dd4/filename/5fa.png
2001,BER,Alba Berlin,https://www.euroleague.net/competition/teams/showteam?clubcode=BER&seasoncode=E2001,https://www.euroleague.net/rs/a35fqimelipvlgk3/5fae8dff-b186-4e7f-a158-c16e8e479736/147/filename/5fa.png
2001,ASV,Asvel Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=ASV&seasoncode=E2001,https://www.euroleague.net/rs/a35anmkqepkgw7pu/5fae8dff-b186-4e7f-a158-c16e8e479736/00c/filename/5fa.png
2001,TRE,Benetton Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=TRE&seasoncode=E2001,https://www.euroleague.net/rs/7041/5fae8dff-b186-4e7f-a158-c16e8e479736/2fb/filename/5fa.jpg
2001,BUD,Buducnost,https://www.euroleague.net/competition/teams/showteam?clubcode=BUD&seasoncode=E2001,https://www.euroleague.net/rs/a35bjwf4jjtkx8sl/5fae8dff-b186-4e7f-a158-c16e8e479736/82c/filename/5fa.png
2001,CIB,Cibona VIP,https://www.euroleague.net/competition/teams/showteam?clubcode=CIB&seasoncode=E2001,https://www.euroleague.net/rs/14543/5fae8dff-b186-4e7f-a158-c16e8e479736/528/filename/5fa.png
2001,CSK,CSKA Moscow,https://www.euroleague.net/competition/teams/showteam?clubcode=CSK&seasoncode=E2001,https://www.euroleague.net/rs/a359ywvf43as6tee/5fae8dff-b186-4e7f-a158-c16e8e479736/777/filename/5fa.png
2001,IST,Efes Pilsen,https://www.euroleague.net/competition/teams/showteam?clubcode=IST&seasoncode=E2001,https://www.euroleague.net/rs/a35a6anofpgn5wca/5fae8dff-b186-4e7f-a158-c16e8e479736/7d6/filename/5fa.png
2001,BAR,FC Barcelona,https://www.euroleague.net/competition/teams/showteam?clubcode=BAR&seasoncode=E2001,https://www.euroleague.net/rs/a35abupuatwppttd/5fae8dff-b186-4e7f-a158-c16e8e479736/4a4/filename/5fa.png
2001,WRO,Idea Slask,https://www.euroleague.net/competition/teams/showteam?clubcode=WRO&seasoncode=E2001,https://www.euroleague.net/rs/7111/5fae8dff-b186-4e7f-a158-c16e8e479736/eb7/filename/5fa.jpg
2001,VIR,Kinder Bologna,https://www.euroleague.net/competition/teams/showteam?clubcode=VIR&seasoncode=E2001,https://www.euroleague.net/rs/a35ciuuul3co6xdc/5fae8dff-b186-4e7f-a158-c16e8e479736/818/filename/5fa.png
2001,LON,Kinder London Towers,https://www.euroleague.net/competition/teams/showteam?clubcode=LON&seasoncode=E2001,https://www.euroleague.net/rs/20822/5fae8dff-b186-4e7f-a158-c16e8e479736/9cc/filename/5fa.png
2001,MES,KRKA Novo Mesto,https://www.euroleague.net/competition/teams/showteam?clubcode=MES&seasoncode=E2001,https://www.euroleague.net/rs/33403/5fae8dff-b186-4e7f-a158-c16e8e479736/7b4/filename/5fa.png
2001,TEL,Maccabi Elite,https://www.euroleague.net/competition/teams/showteam?clubcode=TEL&seasoncode=E2001,https://www.euroleague.net/rs/a35apnp9acakcpfc/5fae8dff-b186-4e7f-a158-c16e8e479736/658/filename/5fa.png
2001,OLY,Olympiacos,https://www.euroleague.net/competition/teams/showteam?clubcode=OLY&seasoncode=E2001,https://www.euroleague.net/rs/a35arljanoudh995/5fae8dff-b186-4e7f-a158-c16e8e479736/c8c/filename/5fa.png
2001,FRA,Opel Skyliners,https://www.euroleague.net/competition/teams/showteam?clubcode=FRA&seasoncode=E2001,https://www.euroleague.net/rs/33634/5fae8dff-b186-4e7f-a158-c16e8e479736/4c9/filename/5fa.jpg
2001,PAN,Panathinaikos,https://www.euroleague.net/competition/teams/showteam?clubcode=PAN&seasoncode=E2001,https://www.euroleague.net/rs/a35atgy4e3u3txqh/5fae8dff-b186-4e7f-a158-c16e8e479736/c20/filename/5fa.png
2001,PAR,Partizan,https://www.euroleague.net/competition/teams/showteam?clubcode=PAR&seasoncode=E2001,https://www.euroleague.net/rs/a35cbqti3cm45opg/5fae8dff-b186-4e7f-a158-c16e8e479736/a2c/filename/5fa.png
2001,PAU,Pau-Orthez,https://www.euroleague.net/competition/teams/showteam?clubcode=PAU&seasoncode=E2001,https://www.euroleague.net/rs/562/5fae8dff-b186-4e7f-a158-c16e8e479736/918/filename/5fa.jpg
2001,PER,Peristeri,https://www.euroleague.net/competition/teams/showteam?clubcode=PER&seasoncode=E2001,https://www.euroleague.net/rs/5471/5fae8dff-b186-4e7f-a158-c16e8e479736/803/filename/5fa.jpg
2001,MAD,Real Madrid,https://www.euroleague.net/competition/teams/showteam?clubcode=MAD&seasoncode=E2001,https://www.euroleague.net/rs/a35av98vefmmr3gt/5fae8dff-b186-4e7f-a158-c16e8e479736/154/filename/5fa.png
2001,PES,Scavolini Pesaro,https://www.euroleague.net/competition/teams/showteam?clubcode=PES&seasoncode=E2001,https://www.euroleague.net/rs/19161/5fae8dff-b186-4e7f-a158-c16e8e479736/938/filename/5fa.png
2001,FOR,Skipper Bologna,https://www.euroleague.net/competition/teams/showteam?clubcode=FOR&seasoncode=E2001,https://www.euroleague.net/rs/14470/5fae8dff-b186-4e7f-a158-c16e8e479736/433/filename/5fa.png
2001,CHA,Spirou Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=CHA&seasoncode=E2001,https://www.euroleague.net/rs/60539/5fae8dff-b186-4e7f-a158-c16e8e479736/886/filename/5fa.png
